
Starting Nmap 7.60 ( https://nmap.org ) at 2018-08-14 13:35 CST
NSE: Loaded 1 scripts for scanning.
NSE: Script Pre-scanning.
NSE: Starting runlevel 1 (of 1) scan.
Discovered open port 21/tcp on 101.81.112.123[上海市 电信]
Discovered open port 21/tcp on 101.81.206.123[上海市 电信]
Discovered open port 21/tcp on 101.81.140.124[上海市 电信]
Discovered open port 21/tcp on 101.81.226.122[上海市 电信]
Discovered open port 21/tcp on 101.81.103.125[上海市 电信]
Discovered open port 21/tcp on 101.81.235.125[上海市 电信]
Discovered open port 21/tcp on 101.81.35.126[上海市 电信]
Discovered open port 21/tcp on 101.81.146.126[上海市 电信]
Discovered open port 21/tcp on 101.81.54.126[上海市 电信]
Discovered open port 21/tcp on 101.81.241.126[上海市 电信]
Discovered open port 21/tcp on 101.81.106.128[上海市 电信]
Discovered open port 21/tcp on 101.81.224.129[上海市 电信]
Discovered open port 21/tcp on 101.81.228.129[上海市 电信]
Discovered open port 21/tcp on 101.81.141.130[上海市 电信]
Discovered open port 21/tcp on 101.81.229.131[上海市 电信]
Discovered open port 21/tcp on 101.81.92.136[上海市 电信]
Discovered open port 21/tcp on 101.81.118.136[上海市 电信]
Discovered open port 21/tcp on 101.81.166.136[上海市 电信]
Discovered open port 21/tcp on 101.81.249.136[上海市 电信]
Discovered open port 21/tcp on 101.81.185.137[上海市 电信]
Discovered open port 21/tcp on 101.81.251.137[上海市 电信]
Discovered open port 21/tcp on 101.81.237.138[上海市 电信]
Discovered open port 21/tcp on 101.81.140.139[上海市 电信]
Discovered open port 21/tcp on 101.81.182.139[上海市 电信]
Discovered open port 21/tcp on 101.81.247.139[上海市 电信]
Discovered open port 21/tcp on 101.81.14.140[上海市 电信]
Discovered open port 21/tcp on 101.81.55.140[上海市 电信]
Discovered open port 21/tcp on 101.81.14.142[上海市 电信]
Discovered open port 21/tcp on 101.81.219.142[上海市 电信]
Discovered open port 21/tcp on 101.81.143.143[上海市 电信]
Discovered open port 21/tcp on 101.81.124.144[上海市 电信]
Discovered open port 21/tcp on 101.81.231.144[上海市 电信]
Discovered open port 21/tcp on 101.81.62.145[上海市 电信]
Discovered open port 21/tcp on 101.81.82.145[上海市 电信]
Discovered open port 21/tcp on 101.81.200.145[上海市 电信]
Discovered open port 21/tcp on 101.81.216.145[上海市 电信]
Discovered open port 21/tcp on 101.81.61.146[上海市 电信]
Discovered open port 21/tcp on 101.81.112.146[上海市 电信]
Discovered open port 21/tcp on 101.81.223.146[上海市 电信]
Discovered open port 21/tcp on 101.81.10.147[上海市 电信]
Discovered open port 21/tcp on 101.81.85.147[上海市 电信]
Discovered open port 21/tcp on 101.81.250.147[上海市 电信]
Discovered open port 21/tcp on 101.81.88.147[上海市 电信]
Discovered open port 21/tcp on 101.81.85.148[上海市 电信]
Discovered open port 21/tcp on 101.81.137.148[上海市 电信]
Discovered open port 21/tcp on 101.81.15.149[上海市 电信]
Discovered open port 21/tcp on 101.81.57.149[上海市 电信]
Discovered open port 21/tcp on 101.81.120.149[上海市 电信]
Discovered open port 21/tcp on 101.81.238.149[上海市 电信]
Discovered open port 21/tcp on 101.81.225.149[上海市 电信]
Discovered open port 21/tcp on 101.81.55.151[上海市 电信]
Discovered open port 21/tcp on 101.81.108.151[上海市 电信]
Discovered open port 21/tcp on 101.81.60.151[上海市 电信]
Discovered open port 21/tcp on 101.81.249.151[上海市 电信]
Discovered open port 21/tcp on 101.81.62.154[上海市 电信]
Discovered open port 21/tcp on 101.81.81.155[上海市 电信]
Discovered open port 21/tcp on 101.81.58.156[上海市 电信]
Discovered open port 21/tcp on 101.81.82.158[上海市 电信]
